id,pc username,function name,"Date in ""date.month.year""",Time
7f9af249-0049-4401-a9dc-b71d3ae19819,Professional,лабораторная_функция,02.04.2025,21:12:02
a1400b02-d1fa-45ec-92d6-b65117124e96,Professional,func1,02.04.2025,21:12:56
